               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.050085,             0.52292,                   0,             0.90329,             0.79865,             0.86872,             0.51875,            0.047077,             0.43614,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.049735,             0.51549,                   0,              0.9116,             0.79717,             0.87145,             0.52361,            0.046935,             0.43301,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.050106,             0.52859,                   0,             0.90416,              0.8027,             0.87228,             0.52284,            0.046894,             0.43408,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.049771,             0.52623,                   0,              0.9042,             0.80327,             0.86798,             0.52226,            0.046883,             0.43301,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.050102,             0.52317,                   0,             0.90481,              0.8012,             0.87013,             0.52038,            0.046915,             0.43494,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.049896,              0.5207,                   0,             0.90205,             0.80794,             0.87338,              0.5239,            0.046833,             0.43333,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.049885,             0.51893,                   0,             0.90622,             0.80132,             0.87228,              0.5249,            0.046773,             0.43407,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.04987,             0.51888,                   0,             0.90548,             0.80643,             0.87182,             0.52686,            0.046614,             0.43168,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.049653,             0.52159,                   0,             0.91215,             0.79924,              0.8711,             0.52454,            0.046696,             0.43308,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.049854,             0.51826,                   0,             0.90949,             0.80542,             0.87354,             0.52681,            0.046594,             0.43227,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.049489,             0.51713,                   0,              0.9105,             0.79664,             0.86935,             0.52075,            0.046777,             0.43346,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.049405,             0.51947,                   0,             0.90956,             0.80043,             0.86857,             0.52641,            0.046571,             0.43331,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.049205,             0.51581,                   0,              0.9093,             0.80554,             0.87296,             0.52856,             0.04643,             0.43115,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.04921,             0.51791,                   0,             0.90581,             0.80823,             0.87385,             0.52867,            0.046469,             0.43198,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.048992,             0.50808,                   0,             0.90957,             0.80104,             0.87119,             0.52572,            0.046529,             0.43289,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.048944,             0.50996,                   0,             0.90477,             0.80835,              0.8731,             0.52625,            0.046546,             0.43246,                   0,            0.004753,            0.004753,            0.004753
